accident_year,victim_role
2021,Passenger
2021,Passenger
2021,Pedestrian
2021,Driver
2021,Driver
2021,Driver
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Passenger
2021,Driver
2021,Bicyclist
2021,Driver
2021,Pedestrian
2021,Driver
2021,Driver
2021,Driver
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Driver
2021,Driver
2021,Passenger
2022,Pedestrian
2022,Pedestrian
2022,Driver
2022,Pedestrian
2022,Pedestrian
2022,Driver
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Passenger
2022,Passenger
2022,Driver
2022,Driver
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Driver
2022,Bicyclist
2022,Passenger
2022,Driver
2022,Driver
2022,Pedestrian
2022,Driver
2022,Driver
2022,Pedestrian
2022,Passenger
2022,Driver
2022,Driver
2022,Pedestrian
2022,Driver
2022,Pedestrian
2022,Driver
2022,Driver
2022,Driver
2022,Pedestrian
2022,Driver
2022,Driver
2022,Pedestrian
2022,Other
2022,Passenger
2022,Pedestrian
2022,Driver
2022,Driver
2022,Other
2023,Pedestrian
2023,Driver
2023,Other
2023,Other
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Driver
2023,Other
2023,Driver
2023,Pedestrian
2023,Passenger
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Passenger
2023,Driver
2023,Driver
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Pedestrian
2023,Driver
2023,Other
2023,Other
2023,Driver
2023,Bicyclist
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Driver
2023,Driver
2023,Pedestrian
2023,Passenger
2023,Passenger
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2024,Motorcyclist
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Passenger
2024,Bicyclist
2024,Pedestrian
2024,Driver
2024,Pedestrian
2024,Driver
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Motorcyclist
2024,Pedestrian
2024,Passenger
2024,Driver
2024,Pedestrian
2024,Pedestrian
2024,Bicyclist
2024,Pedestrian
